A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,ibe,ice ;ise,ide ;ied,0,ife,ige,0,I ;ie ;y ;ye,0,ike ;yke,ile ;yle,I'm ;ime ;yme,ine ;ign,0,ipe,0,ire ;yre,0,ite ;yte ;ight,0,I've ;ive,0,ikes,0,ize ;ise
0,eeb,eece ;ice ;iece ;eace,eed ;ead,e ;ee ;ie ;ey ;ea ;i,eef ;eaf ;ief,eague ;eag,0,0,ij ;eege,eek ;eak,eel ;eal,eam ;eem,een ;ean,0,eep ;eap,0,eer ;ear,0,eet ;eat,0,eeve ;ieve ;eave ;eve,ew ;ewe ;iw,eaks ;eeks,0,eeze ;ease
a ;ay,abe,ace,ade ;aid,0,afe,ague,0,0,age,ake ;eak,ale ;ail,ame ;aim,ain ;ane ;eign,0,ape,0,air ;are ;eir,0,ate ;ait ;eight,0,ave,0,akes ;aches ;eaks,0,aze ;ase
0,ib,0,id,0,if ;yph,ig,ih,0,idge,ick,ill,im ;imb,in,0,ip,0,0,is ;iss,it,0,iv ;ive,0,ix ;icks,0,izz ;iz ;is
0,ab,0,ad,0,augh ;aph ;aff ;affe,ag,ah ;eah,0,adge,ack ;aque,al,am ;amb,an,0,ap,0,0,ass,at,0,ave ;av,0,ax ;acks ;acts,0,az
0,eb ;ebb,0,ed ;ead,0,ef ;eaf,egg ;eg,eh,0,edge,eck ;ech,el ;ell,em ;egm,en,0,ep,0,0,ess,et,0,ev,0,ex ;ecks ;ects,0,ez ;ezz
0,0,0,ood ;ould,0,0,0,0,0,0,ook ,ull,0,0,0,0,0,ure,uss,ut,0,0,0,0,0,0
0,ub,0,ud,0,uff ;ough ;oof,ug,uh,0,udge,uck,ull,um ;umb,un,0,up,0,0,us,utt,0,ove,0,ux ;ucks ;ucts,0,uzz ;as
0,ob,0,od ;odd ;awd,0,off ;awf,og,0,0,odge,awk ;ock ;alk,all ;awl,alm ;omb ;om,awn ;on ;ohn,0,op,0,0,oss ;auce,ought,0,0,aw ;awe ,ox ;aux ;alks ;ocks,0,oz ;ozz ;auze
0,0,0,oud,0,ouf ***,ouge,0,0,0,0,owl,0,own,0,0,0,our,owse ;ouse,out ;ought,0,0,ow ;ao,0,0,0
0,arb,0,ard,0,arf,arg,0,0,arge,ark ;arc,0,arm,arn,0,arp,0,ar ;are ;awr ;orr,arse,art,0,arve,0,arcks ;arcs,0,ars
0,erb ;urb,0,ird ;urd ;erd ;eard ;erred,0,urf,erg ;urg ;urgh,0,0,erge ;urge ;ourge,irk ;urk,url,orm ;erm ;irm,0,0,urp ;erp,0,ur ;ir ;er ;err,urse ;erse,urt ;irt,0,erve ;urve,0,erks,0,0
0,orb,0,ord ;orde ;ard,0,orf,org,0,0,orge,ork ;orque,oral ;arrel,orm ;ard,orn ;ourn,0,orp ;arp,0,or ;oar ;ore ;oor,orse ;oarse,ort,0,0,0,0,0,0
0,obe,0,ode ;oad ;owed,0,oaf,ouge,0,0,0,oke ;oak,ole ;oal,ome ;oam ;om,one ;own,o ;oe ;ow ;owe ;ough ;oh,0,0,0,ose,ote ;oat,0,ove,0,oax ;oaks,0,oze ;ose
0,0,oice,oid,0,0,0,0,0,0,0,oil,0,oin,0,0,0,0,0,oit,0,0,0,0,oy ;oi ;oix,oise ;oys
0,ube ;oob,0,ude ;ood,0,oof,oog,0,0,0,uke ;ook,ule ;ool,ume ;oom ;omb,oon,0,upe ;oop ;oup,0,0,use ;oose,ute ;oot ;ewt,u ;ue ;oo ;ou ;ew,oove,0,0,0,ooze
